Year,Team,GM,HiLvl,MLB.Years,Stat.Years,W,L,WPct,Rank,Playoffs
1968,CHW,Ed Short,---,"","",67,95,0.414,9,dnq
1967,CHW,Ed Short,---,"","",89,73,0.549,4,dnq
1966,CHW,Ed Short,---,"","",83,79,0.512,4,dnq
1965,CHW,Ed Short,---,"","",95,67,0.586,2,dnq
1964,CHW,Ed Short,---,"","",98,64,0.605,2,dnq
1963,CHW,Ed Short,---,"","",94,68,0.58,2,dnq
1962,CHW,Ed Short,---,"","",85,77,0.525,5,dnq
1961,CHW,Bill Veeck,---,"","",86,76,0.531,4,dnq
1961,CHW,Hank Greenberg,MLB,1930-1947,1930-1947,86,76,0.531,4,dnq
1960,CHW,Bill Veeck,---,"","",87,67,0.565,3,dnq
1959,CHW,Charlie Comiskey,MLB,1882-1894,1882-1894,94,60,0.61,1,Lost World Series (Dodgers)
1958,CHW,Charlie Comiskey,MLB,1882-1894,1882-1894,82,72,0.532,2,dnq
1957,CHW,Charlie Comiskey,MLB,1882-1894,1882-1894,90,64,0.584,2,dnq
1956,CHW,Charlie Comiskey,MLB,1882-1894,1882-1894,85,69,0.552,3,dnq
1955,CHW,Frank Lane,---,"","",91,63,0.591,3,dnq
1954,CHW,Frank Lane,---,"","",94,60,0.61,3,dnq
1953,CHW,Frank Lane,---,"","",89,65,0.578,3,dnq
1952,CHW,Frank Lane,---,"","",81,73,0.526,3,dnq
1951,CHW,Frank Lane,---,"","",81,73,0.526,4,dnq
1950,CHW,Frank Lane,---,"","",60,94,0.39,6,dnq
